date_index,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,au_recuperacion,ag_recuperacion,pb_recuperacion,zn_recuperacion,fe_recuperacion,au_contenido,ag_contenido,pb_contenido,zn_contenido,ag_concentrado_pb_ley,pb_concentrado_pb_ley,zn_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,au_concentrado_fe_ley,ag_concentrado_fe_ley,fe_concentrado_fe_ley
2024-02-29_1,12.0,1870.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29_2,12.0,1981.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05_2,12.0,2042.1999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01_1,12.0,1695.9586,1.1224701621104656,484.2799996173903,1.5877534745393402,2.170089732402584,6.22156495609571,0.028911481027050663,21.86819706943367,13544.810526417592,51.02256403518208,7.643117676238677,6.992951263443691,0.5274487126913177,0.5087805750340813,97.92999984171571,0.12539794389505177,2.0081893914834787,6.198746197006307,0.014164005115071461,0.4491153341685836,51.940338393744184,0.09669293224713084,0.1949838230493617,5.974378584587404,0.009039711431145483,2.969184420865566,479.25101021286054,0.4072636697970358,1.8633951344222845,35.17681548972048,0.036274535602051114,0.2562640823773635,19.239886489834667,0.07292614116096906,0.06730668451399748,3.73962774293867,0.006955534468934892,0.27,19.24,0.07,0.07,3.56,0.01,80.24574580244264,96.56241318448612,92.32909479047147,81.51128109055561,37.4381688972314,1.5276085114697553,793.0852823402273,24.86204773608552,29.999267979835555,13544.810526417592,51.02256403518208,7.643117676238677,1174.5111080668764,44.4538782451233,2.969184420865566,479.25101021286054,35.17681548972048
2024-04-01_2,12.0,2040.98324,1.3035807057737296,641.419998375821,1.758218266119232,1.9334701461729367,6.767329527232065,0.03481897042985645,22.21301538227274,14817.12320578003,45.498437858762856,10.171749034331153,8.229541718702217,0.4252908269358627,0.5174102177646015,108.43000219178646,0.11363674993771838,1.6237204167296022,6.712352045060679,0.02013768158907387,0.49324167748441605,76.88000176201412,0.09507820422381195,0.2655193057441342,6.591440302414047,0.011293840008030798,2.4437260875366205,612.253562594695,0.5190192331562802,2.8596694788894466,31.74700199076789,0.05730663273466718,0.3824876743778673,46.47998179054464,0.07100563753555864,0.11821614615225604,5.163036597662388,0.008681103929586325,0.39,46.48,0.11,0.11,5.42,0.01,73.96837576873482,93.57097375478887,93.77102569967478,68.06091838721268,23.633284851016796,1.9679925256415092,1224.9633180822332,33.64967643547119,26.85806460409971,14817.12320578003,45.498437858762856,10.171749034331153,1238.0884226048613,50.25456988547551,2.4437260875366205,612.253562594695,31.74700199076789
2024-04-02_1,12.0,1900.05244,1.056505054250687,481.95000062520313,1.29673230534031,2.4838924918102507,5.863200567203013,0.038003159034147936,23.004338646653714,15323.725253141662,49.83205064676745,9.147028133613716,7.066501763103558,0.5798877646822916,0.5019153251843228,106.91999679803442,0.07031563256041184,2.315524776848201,5.832794901814212,0.02431052575595231,0.4777459502736978,58.51001189045253,0.051633008956156204,0.17536432201048704,5.657679215294912,0.01064146939947506,2.392058659845899,467.60737899158,0.27063618669354356,1.37898042938882,28.459452154290677,0.03825687193966422,0.3332006126321188,27.62001321874745,0.035096584101251674,0.08448204569173272,3.935969929339062,0.008556294044205232,0.33,27.62,0.04,0.09,3.95,0.01,72.73910940402848,95.04632255322981,94.71111741338153,84.3607152483138,31.680265878056872,1.4601757975536853,870.3679505575371,23.33548751039383,39.81425881293071,15323.725253141662,49.83205064676745,9.147028133613716,1091.6007353280422,45.84734535612429,2.392058659845899,467.60737899158,28.459452154290677
2024-04-02_2,12.0,1732.90551,1.8063311660942782,756.8800023212443,2.1859371398027956,2.99276876906599,6.53248180853054,0.05063110465382833,25.380321292176657,13527.175146142152,43.69578139343405,9.055390958880803,7.080989918142737,0.5797506766629826,0.6191118462665544,113.74996648263667,0.09544296391757746,2.687446583298173,6.5048581681823885,0.023983898346007657,0.5856938131272161,66.29989427712243,0.07678077093769943,0.2042200181474931,6.337052504175487,0.010369833496476666,3.0818184248969045,518.5983422953423,0.2887192598116665,1.5523184069748195,32.3345215045602,0.03811031111386745,0.4052871495276758,33.610158526964305,0.061462979716141404,0.1067866082185605,4.458093167659546,0.0083648987307948,0.37,33.61,0.07,0.11,4.35,0.01,81.15289382563485,96.26988047092087,95.8431199552573,79.34622824306064,30.050642406004595,2.540248881205243,1262.6772217501834,36.3055896209984,41.1504257605973,13527.175146142152,43.69578139343405,9.055390958880803,946.1726262239366,46.251006468940716,3.0818184248969045,518.5983422953423,32.3345215045602
2024-04-05_1,12.0,2042.1999999999998,1.151546591432279,471.9500044944031,1.1915976437442417,2.638281090027382,5.453052793148698,0.038266314659130794,28.297554348091925,14943.145947863231,44.9437014355998,9.884982048651125,7.585096008158626,0.5785701389344137,0.4667990757447984,106.91970022000818,0.08796779709675015,2.4554858693515045,5.399272830072608,0.024637360276393575,0.33866961448028293,59.63365734334213,0.06707273634779293,0.18880958458213296,5.1558786524303235,0.010687570762353157,0.7609776662521663,0.0,0.0,0.0,17.59364126603586,0.0,0.459503577752919,42.570825765765,0.04788137940719099,0.13478596293154976,8.714665051459239,0.007629562449337466,0.34,40.68,0.09,0.13,5.48,0.01,48.02396353512995,88.25070372457542,92.79929436829786,84.12693881769948,-120.24622859996101,1.1293740032186688,850.5746666371589,22.582529256632256,45.32673352890974,14943.145947863231,44.9437014355998,9.884982048651125,1072.4605329221179,48.73909038180103,0.7609776662521663,0.0,17.59364126603586
2024-04-05_2,11.9,2074.5648,1.2623669527943624,503.2199989743296,1.253024132303841,2.0139373127731095,6.361555331666654,0.03498352588550482,31.017200137961854,15909.36233003125,45.28121907348538,9.08304767291897,7.33406695804015,0.5699830773894562,0.49084589889903846,103.75000047863858,0.11140525140679675,1.830640453361347,6.33633881674836,0.02111137895592254,0.44471718179811504,63.943927483802575,0.09560781153054222,0.22372215837016948,6.2067715386375415,0.010538032178776033,2.777811108816424,716.0515545015201,0.4667257095851517,1.916284789348729,31.72446658614417,0.03968246954868919,0.35858610652284234,39.87000124371182,0.08190721283488943,0.16123764469984445,5.264732091560023,0.009462103901781396,0.33,39.87,0.12,0.16,5.23,0.01,74.13144139407386,92.78472737668166,91.3337979958534,78.11131377622335,16.76575262792463,1.941400182044084,968.6377563184718,23.74203591505811,32.63524635564727,15909.36233003125,45.28121907348538,9.08304767291897,1339.0244959448196,51.69703110079125,2.777811108816424,716.0515545015201,31.72446658614417
2024-04-06_1,12.0,2116.69224,1.387716977723142,652.0499980116911,1.7611005193630416,1.988482173610863,7.893745662458825,0.03779297240801596,24.38881263317572,14555.034535080587,43.6124897724098,9.17229934126465,6.536883356476618,0.4535872052038014,0.5257582309521888,131.04007276897775,0.1927330132426155,1.7192709092598706,7.944593645977728,0.02221121573068636,0.48635896083339664,85.02998167247634,0.1320939427175832,0.06766632846743809,7.890579606888194,0.014616009729231518,2.424729362429373,1074.5431051666956,1.470698499235961,2.9064185935759768,35.804174253719,0.18732103834922859,0.4471220336425852,65.00003571945948,0.10499760990206207,0.010203670222602362,7.325546381097219,0.011120075913965667,0.41,65.0,0.1,0.01,7.44,0.01,70.44712596391638,90.85660988833753,89.45140887445264,80.1539815298287,8.421380768860692,2.0692925734885055,1253.993090710576,33.344871486814796,33.73684918968804,14555.034535080587,43.6124897724098,9.17229934126465,1663.8103638636062,56.7404711230307,2.424729362429373,1074.5431051666956,35.804174253719
