date_index,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,au_recuperacion,ag_recuperacion,pb_recuperacion,zn_recuperacion,fe_recuperacion,au_contenido,ag_contenido,pb_contenido,zn_contenido,ag_concentrado_pb_ley,pb_concentrado_pb_ley,zn_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,au_concentrado_fe_ley,ag_concentrado_fe_ley,fe_concentrado_fe_ley
2023-12-31_2,12.0,2000.14,1.292,381.0,0.369,0.935,5.8365,0.035,36.525,15203.0,36.67,9.517857142857142,8.081,0.73,0.59,58.0,0.066,0.871,5.84,0.02,2.483,1160.301,0.573,48.045,10.341,0.45,0.48857142857142855,22.614999999999988,0.05,0.049,5.255,0.01,1.819,300.74299999999994,0.118,0.1219999999999998,34.329,0.0520714285714285,0.32999999999999996,11.982999999999995,0.047,0.047,3.811642857142857,0.0111428571428571,73.39396674672159,97.12747723098867,82.47013706609091,86.1572746253266,35.76980869967387,2.46614834010777,740.1631842930096,6.082513794662119,16.110122159958493,15203.000175675168,37.39583084480522,9.86374003037891,1160.3005630140608,46.10644454273887,1.8210725922157265,300.7427482408536,34.32981259265898
2024-01-01_1,10.6,1864.9,1.55,392.76,0.92,1.64,5.862,0.046,37.76,14674.87,36.16,11.41,9.52,1.12,0.45,88.99,0.11,1.61,5.74,0.02,2.2,1552.11,0.76,50.07,11.37,0.62,0.35,42.39,0.08,0.1099999999999999,5.17,0.01,3.6,586.38,0.53,1.6599999999999997,43.58,0.0799999999999999,0.3185714285714285,38.441428571428574,0.1642857142857142,0.1771428571428571,5.118571428571428,0.0142857142857142,74.14538239281407,90.778428006445,87.14126767077862,80.35721890697147,5.241758097297294,1.8599662468122489,560.5989887966158,3.5351248939514823,6.786663077734729,14674.792914911872,36.72487094550139,11.256860832956988,1552.1841141596533,48.582150602318016,3.616359258578359,586.6164620227515,43.58268358326045
2024-01-01_2,11.31857142857143,1877.1201102857144,1.3328571428571427,426.2914285714286,1.2785714285714285,2.3271428571428574,7.119428571428571,0.035,26.21,10946.59857142857,44.60285714285715,9.575714285714286,7.411,0.6371428571428571,0.5771428571428572,110.82,0.1228571428571428,2.0771428571428574,6.432857142857143,0.0172857142857142,1.914285714285714,1114.3528571428571,0.9185714285714286,50.33571428571429,10.34457142857143,0.4538571428571429,0.4871428571428571,70.23428571428572,0.0914285714285714,0.1342857142857142,5.802857142857143,0.0102857142857142,2.511428571428572,469.1171428571428,0.4442857142857143,1.2657142857142856,34.221428571428575,0.0407142857142857,0.2,19.7,0.06,0.08,2.97,0.01,86.76049711742712,96.17238856733609,91.00443418397184,81.3082382549941,11.007157032518922,2.102132804511238,769.5716588287162,23.708985303218387,35.52152622007175,10946.595425762978,43.383128634568045,9.575619288838798,1114.3362666208764,50.1416685071191,2.631945844891737,469.2810568335898,33.707583021908405
2024-01-02_1,11.0,1877.1201102857144,1.03,395.81,0.75,1.52,5.811,0.032,35.29,14143.96,30.370000000000005,9.46,9.95,0.67,0.6,68.25,0.1,1.25,5.41,0.01,2.2,1193.58,1.12,48.89,10.71,0.38,0.49,65.42,0.14,0.37,5.11,0.02,2.525714285714286,475.28857142857134,0.4371428571428571,1.7542857142857144,34.91957142857143,0.0541428571428571,0.3528571428571428,33.51142857142857,0.1071428571428571,0.1285714285714286,4.365285714285714,0.0125714285714285,77.74440763032078,92.34614236272829,85.24042678531474,81.89610791646594,39.63285553849661,1.4487794768023894,490.4118323403736,9.175674997973472,1.230279266726569,14143.969033081916,29.38775532244847,10.151860771919022,1190.6932915017871,37.22827853970834,2.4841200595413486,475.7727386565259,33.23079248564879
2024-01-02_2,11.159285714285716,1736.9,1.04,350.6,0.77,1.49,5.202,0.03,31.5,13517.71,33.27,8.8,8.62,0.73,0.69,72.49,0.09,1.54,5.5,0.02,2.16,918.97,0.85,49.075,10.615,0.41,0.45,38.75000000000001,0.06,0.19,4.98,0.01,2.861428571428571,669.1671428571428,0.6228571428571429,2.0,35.66085714285714,0.0499999999999999,0.3414285714285714,29.97571428571429,0.0942857142857142,0.1028571428571428,4.125285714285715,0.0097142857142857,67.52616072656777,92.0588582020003,87.65866260644216,81.89610791646594,8.851226314281648,1.315130274019056,560.5989887966158,11.88599660029949,24.584882976651052,13517.77764050143,33.083714798554304,8.65260874133964,919.0130917776984,37.70988106591875,2.9084704660743377,668.6874820327644,35.788441553713895
2024-01-03_1,11.5,1955.0,1.5,386.74,1.3,1.95,6.4,0.035,28.85,11565.34,37.18,9.46,8.59,0.69,0.7,71.96,0.11,1.73,6.01,0.02,2.47,943.45,0.89,48.89,10.89,0.45,0.55,44.21,0.09,0.21,5.71,0.01,2.591428571428572,553.1171428571429,0.5157142857142858,1.4042857142857144,33.931,0.0412857142857143,0.3514285714285714,31.442857142857143,0.0971428571428571,0.0942857142857142,3.858142857142857,0.0111428571428571,70.89051449449323,92.52503109638025,90.05867818116276,79.10028820806788,14.373802407295123,1.8599662468122489,699.5602022303834,20.552216957632595,29.12732623256664,11565.330411884406,38.38417684652583,9.496525155673387,943.2880550057088,49.63626680371546,2.6873764152666406,552.2531406696655,34.577857023892555
2024-01-03_2,11.7,2068.4,1.92,308.41,1.09,1.85,6.34,0.035,35.29,10725.18,38.21,10.53,9.14,0.73,0.58,54.28,0.11,1.67,5.94,0.01,1.72,750.92,0.68,49.26,10.52,0.41,0.53,33.32,0.08,0.16,5.41,0.01,2.55,631.62,0.6128571428571429,1.927142857142857,35.65971428571429,0.06,0.2857142857142857,33.02285714285714,0.0728571428571428,0.0814285714285714,3.765142857142857,0.0095714285714285,72.39507163691138,89.8642458037328,90.7130309871286,80.60650788052796,0.3677275152675642,1.952150801379169,573.2577271942162,19.198178322879752,29.692794641206493,10725.006556080443,38.973073923558445,10.57428416195198,750.1601336405743,50.33449569032211,2.554000538253813,631.3830250122236,35.68378283013944
2024-01-04_1,11.4,1857.1,1.14,286.74,0.83,1.78,5.405,0.037,40.55,9049.98,42.39,11.16,8.39,0.88,0.69,67.57,0.1,1.81,6.13,0.02,2.42,851.95,0.8,47.2,10.9,0.45,0.53,33.900000000000006,0.07,0.26,5.34,0.01,2.52,498.2485714285714,0.4757142857142857,1.272857142857143,33.80528571428572,0.047,0.3571428571428571,30.23142857142857,0.0885714285714285,0.0885714285714285,3.749571428571429,0.0111428571428571,72.6425511006291,90.2198110832254,90.06256676399914,82.47322159347624,4.914350691278922,1.9142681397704249,480.4248674714013,17.248857029267473,32.5280899834531,9050.17381358396,38.06679074410904,10.89024477893525,851.7900711732731,43.63073848315972,2.543250137300428,497.29168244659047,34.05324253196578
2024-01-04_2,11.4,1864.9,1.27,240.91,1.18,2.34,6.17,0.034,34.87,8540.08,47.33,9.02,7.17,0.93,0.71,68.33,0.14,2.34,6.15,0.02,2.05,751.51,0.89,47.51,10.71,0.43,0.54,41.5,0.12,0.35,5.95,0.02,2.642857142857143,477.5742857142858,0.6971428571428572,1.9085714285714284,32.995714285714286,0.0642857142857143,0.3814285714285714,30.53428571428572,0.1271428571428571,0.1242857142857142,4.461428571428572,0.0128571428571428,67.64868224436667,88.34781169125706,86.62684196765179,83.38099927916446,13.163087750756194,1.589382467770545,396.9229153091346,18.175087314819795,34.14064673011437,8540.126586040045,47.84167800523028,9.057938854696785,751.2033784470468,49.43927110782975,2.7143277305607554,476.9927503142986,33.324495345157125
2024-01-05_1,12.0,2079.7,1.61,344.15,1.0,2.04,6.201,0.038,33.88,8589.63,46.32,9.74,7.73,1.0,0.78,88.71,0.21,1.96,6.43,0.02,2.61,891.22,2.35,50.11,10.0,0.45,0.69,40.72,0.11,0.44,5.81,0.01,2.7414285714285715,546.3157142857143,0.5328571428571428,1.5685714285714285,34.107142857142854,0.0585714285714285,0.4128571428571428,38.61714285714286,0.13,0.11,4.741428571428571,0.0128571428571428,71.61030295263164,89.77580067315574,84.15438919621509,84.65021106635803,2.234645053548967,2.4356890046507518,642.5512169065804,24.32682165755348,46.27883332402449,8589.67294474509,38.928159769235535,9.397609298016926,891.6650497844679,40.689475561514016,2.7585199296566367,545.8210128713249,34.17891302337682
